patient_id,status,method,mask_source,n_keypoints_crop,n_keypoints_raw,n_good_matches,n_inliers,area_ratio,crop_w,crop_h,raw_w,raw_h
India_018,ok,SIFT,alpha,1166.0,74187.0,722.0,716.0,13.93097999929596,800.0,1067.0,2988.0,3984.0
India_019,ok,SIFT,alpha,650.0,67942.0,383.0,381.0,13.93342474304551,800.0,1067.0,2988.0,3984.0
India_020,ok,SIFT,alpha,1019.0,64815.0,627.0,621.0,13.945855434590207,800.0,1067.0,2988.0,3984.0
India_021,ok,SIFT,alpha,1265.0,77349.0,851.0,848.0,13.947271025405426,800.0,1067.0,2988.0,3984.0
India_022,ok,SIFT,alpha,378.0,67748.0,224.0,217.0,13.952612446991001,800.0,1067.0,2988.0,3984.0
India_023,ok,SIFT,alpha,753.0,63198.0,443.0,439.0,13.920565000138692,800.0,1067.0,2988.0,3984.0
India_024,ok,SIFT,alpha,1093.0,77796.0,661.0,653.0,13.934066639785009,800.0,1067.0,2988.0,3984.0
India_025,ok,SIFT,alpha,836.0,74419.0,563.0,554.0,13.963681412405904,800.0,1067.0,2988.0,3984.0
India_026,ok,SIFT,alpha,244.0,64631.0,93.0,89.0,13.951152758863918,800.0,1067.0,2988.0,3984.0
India_027,ok,SIFT,alpha,857.0,59174.0,517.0,505.0,13.895900632423443,800.0,1067.0,2988.0,3984.0
India_028,ok,SIFT,alpha,384.0,57203.0,200.0,187.0,13.957813127499021,800.0,1067.0,2988.0,3984.0
India_029,ok,SIFT,alpha,683.0,73460.0,399.0,394.0,13.964705569234884,800.0,1067.0,2988.0,3984.0
India_030,ok,SIFT,alpha,635.0,85346.0,178.0,170.0,14.016219363785575,800.0,1067.0,2988.0,3984.0
India_031,ok,SIFT,alpha,1042.0,67503.0,678.0,671.0,13.958417854904678,800.0,1067.0,2988.0,3984.0
India_032,ok,SIFT,alpha,398.0,62878.0,214.0,212.0,13.926022069896518,800.0,1067.0,2988.0,3984.0
India_033,ok,SIFT,alpha,2008.0,61406.0,1341.0,1317.0,13.934369788981368,800.0,1067.0,2988.0,3984.0
India_034,ok,SIFT,alpha,1444.0,75426.0,896.0,892.0,13.942499744109691,800.0,1067.0,2988.0,3984.0
India_035,ok,SIFT,alpha,532.0,100392.0,326.0,313.0,14.029241385647529,800.0,1067.0,2988.0,3984.0
India_036,ok,SIFT,alpha,1612.0,154697.0,1032.0,1017.0,13.950548050389486,800.0,1067.0,2988.0,3984.0
India_037,ok,SIFT,alpha,1089.0,66301.0,690.0,684.0,13.944236640276435,800.0,1067.0,2988.0,3984.0
India_038,ok,SIFT,alpha,953.0,65385.0,617.0,605.0,13.972983994481217,800.0,1067.0,2988.0,3984.0
India_039,ok,SIFT,alpha,759.0,60876.0,466.0,459.0,13.943396996584575,800.0,1067.0,2988.0,3984.0
India_040,ok,SIFT,alpha,809.0,64966.0,493.0,488.0,13.94094190988386,800.0,1067.0,2988.0,3984.0
India_041,ok,SIFT,alpha,947.0,57420.0,579.0,568.0,13.941516781273707,800.0,1067.0,2988.0,3984.0
India_042,ok,SIFT,alpha,280.0,64801.0,107.0,106.0,13.916438434894136,800.0,1067.0,2988.0,3984.0
India_043,ok,SIFT,alpha,1454.0,69096.0,991.0,989.0,13.951866386755079,800.0,1067.0,2988.0,3984.0
India_044,ok,SIFT,alpha,905.0,67171.0,557.0,547.0,13.956424444457399,800.0,1067.0,2988.0,3984.0
India_045,ok,SIFT,alpha,731.0,75301.0,456.0,450.0,14.003088109118769,800.0,1067.0,2988.0,3984.0
India_046,ok,SIFT,alpha,201.0,71383.0,105.0,102.0,13.987392204566591,800.0,1067.0,2988.0,3984.0
India_047,ok,SIFT,alpha,161.0,65787.0,82.0,77.0,13.958449642727947,800.0,1067.0,2988.0,3984.0
India_048,ok,SIFT,alpha,1600.0,72218.0,1081.0,1068.0,13.941565397906935,800.0,1067.0,2988.0,3984.0
India_049,ok,SIFT,alpha,825.0,67683.0,482.0,474.0,13.992474117988154,800.0,1067.0,2988.0,3984.0
India_050,ok,SIFT,alpha,711.0,71446.0,462.0,449.0,13.908138182257671,800.0,1067.0,2988.0,3984.0
India_051,ok,SIFT,alpha,1203.0,73971.0,719.0,705.0,13.95583282834443,800.0,1067.0,2988.0,3984.0
India_052,ok,SIFT,alpha,2205.0,75665.0,1510.0,1490.0,13.95027083884476,800.0,1067.0,2988.0,3984.0
India_053,ok,SIFT,alpha,1091.0,72250.0,719.0,708.0,13.914511964941797,800.0,1067.0,2988.0,3984.0
India_054,ok,SIFT,alpha,1885.0,65208.0,1202.0,1190.0,13.968703509344367,800.0,1067.0,2988.0,3984.0
India_055,ok,SIFT,alpha,1979.0,76984.0,1340.0,1327.0,13.947176819158358,800.0,1067.0,2988.0,3984.0
India_056,ok,SIFT,alpha,644.0,68790.0,369.0,364.0,13.948293577390402,800.0,1067.0,2988.0,3984.0
India_057,ok,SIFT,alpha,2026.0,67140.0,1279.0,1257.0,13.956104117550819,800.0,1067.0,2988.0,3984.0
India_058,ok,SIFT,alpha,695.0,66176.0,436.0,433.0,13.952324849014914,800.0,1067.0,2988.0,3984.0
India_059,ok,SIFT,alpha,502.0,74284.0,256.0,248.0,13.886285819030629,800.0,1067.0,2988.0,3984.0
India_060,ok,SIFT,alpha,1467.0,79535.0,999.0,988.0,13.932169339351134,800.0,1067.0,2988.0,3984.0
India_061,ok,SIFT,alpha,608.0,64014.0,377.0,367.0,13.930960427619732,800.0,1067.0,2988.0,3984.0
India_062,ok,SIFT,alpha,1824.0,64902.0,1183.0,1172.0,13.962685834882864,800.0,1067.0,2988.0,3984.0
India_063,ok,SIFT,alpha,1920.0,69758.0,1236.0,1215.0,13.951299327685184,800.0,1067.0,2988.0,3984.0
India_064,ok,SIFT,alpha,2219.0,63324.0,1382.0,1364.0,13.942789800684194,800.0,1067.0,2988.0,3984.0
India_065,ok,SIFT,alpha,791.0,60822.0,459.0,454.0,13.974602685090414,800.0,1067.0,2988.0,3984.0
India_066,ok,SIFT,alpha,905.0,69276.0,516.0,507.0,13.955603362672518,800.0,1067.0,2988.0,3984.0
India_067,ok,SIFT,alpha,1112.0,68718.0,657.0,655.0,13.966634453060422,800.0,1067.0,2988.0,3984.0
India_068,ok,SIFT,alpha,1453.0,77617.0,972.0,965.0,13.986926854191559,800.0,1067.0,2988.0,3984.0
India_069,ok,SIFT,alpha,2184.0,68992.0,1407.0,1396.0,13.952477890585882,800.0,1067.0,2988.0,3984.0
India_070,ok,SIFT,alpha,1520.0,69058.0,983.0,973.0,13.959511784231914,800.0,1067.0,2988.0,3984.0
India_071,ok,SIFT,alpha,1937.0,73713.0,1242.0,1233.0,13.940087812211162,800.0,1067.0,2988.0,3984.0
India_072,ok,SIFT,alpha,1934.0,58278.0,1271.0,1255.0,13.939695052295878,800.0,1067.0,2988.0,3984.0
India_073,ok,SIFT,alpha,714.0,69241.0,474.0,468.0,13.93337244390229,800.0,1067.0,2988.0,3984.0
India_074,ok,SIFT,alpha,797.0,75510.0,451.0,440.0,13.996669584125042,800.0,1067.0,2988.0,3984.0
India_075,ok,SIFT,alpha,1411.0,80135.0,837.0,827.0,13.969090504491469,800.0,1067.0,2988.0,3984.0
India_076,ok,SIFT,alpha,805.0,81374.0,523.0,520.0,13.925460051975712,800.0,1067.0,2988.0,3984.0
India_077,ok,SIFT,alpha,1246.0,75697.0,787.0,781.0,13.936138718533181,800.0,1067.0,2988.0,3984.0
India_078,ok,SIFT,alpha,1510.0,71630.0,978.0,970.0,13.973026346876145,800.0,1067.0,2988.0,3984.0
India_079,ok,SIFT,alpha,405.0,69670.0,230.0,225.0,13.945363928472227,800.0,1067.0,2988.0,3984.0
India_080,ok,SIFT,alpha,1372.0,72714.0,881.0,872.0,14.01268031001328,800.0,1067.0,2988.0,3984.0
India_081,ok,SIFT,alpha,1153.0,95049.0,737.0,733.0,13.955482192935508,800.0,1067.0,2988.0,3984.0
India_082,ok,SIFT,alpha,480.0,71820.0,267.0,263.0,13.929881245193666,800.0,1067.0,2988.0,3984.0
India_083,ok,SIFT,alpha,665.0,72095.0,399.0,397.0,13.972279584325388,800.0,1067.0,2988.0,3984.0
India_084,ok,SIFT,alpha,495.0,61078.0,298.0,293.0,13.919166987098206,800.0,1067.0,2988.0,3984.0
India_085,ok,SIFT,alpha,701.0,60751.0,422.0,418.0,13.936733417345325,800.0,1067.0,2988.0,3984.0
India_086,ok,SIFT,alpha,899.0,71360.0,574.0,570.0,13.938317452803382,800.0,1067.0,2988.0,3984.0
India_087,ok,SIFT,alpha,1783.0,71589.0,1175.0,1164.0,13.932650533384127,800.0,1067.0,2988.0,3984.0
India_088,ok,SIFT,alpha,2151.0,78359.0,1480.0,1475.0,13.92274326737707,800.0,1067.0,2988.0,3984.0
India_089,ok,SIFT,alpha,879.0,76189.0,594.0,587.0,13.959581110032953,800.0,1067.0,2988.0,3984.0
India_090,ok,SIFT,alpha,1301.0,83893.0,830.0,818.0,13.921175143950641,800.0,1067.0,2988.0,3984.0
India_091,ok,SIFT,alpha,654.0,73559.0,411.0,404.0,13.912999953866686,800.0,1067.0,2988.0,3984.0
India_092,ok,SIFT,alpha,399.0,68531.0,246.0,239.0,14.000855897931167,800.0,1067.0,2988.0,3984.0
India_093,ok,SIFT,alpha,1531.0,74245.0,989.0,982.0,13.96344973113484,800.0,1067.0,2988.0,3984.0
India_094,ok,SIFT,alpha,1921.0,77133.0,1229.0,1216.0,13.95206191083835,800.0,1067.0,2988.0,3984.0
India_095,ok,SIFT,alpha,659.0,61204.0,416.0,407.0,13.929223160439113,800.0,1067.0,2988.0,3984.0
Italy_001,no_forniceal_crop,,,,,,,,,,,
Italy_002,ok,SIFT,white_bg,2524.0,69027.0,1466.0,1458.0,13.933935152152989,800.0,1067.0,2988.0,3984.0
Italy_003,ok,SIFT,white_bg,1742.0,66186.0,991.0,982.0,14.007214061464124,800.0,1067.0,2988.0,3984.0
Italy_004,ok,SIFT,white_bg,1679.0,80257.0,906.0,900.0,13.952171821272822,800.0,1067.0,2988.0,3984.0
Italy_005,ok,SIFT,white_bg,2011.0,76905.0,1151.0,1143.0,13.937932526930958,800.0,1067.0,2988.0,3984.0
Italy_006,ok,SIFT,white_bg,2318.0,102417.0,1331.0,1327.0,13.954878028197754,800.0,1067.0,2988.0,3984.0
Italy_007,ok,SIFT,white_bg,1299.0,67817.0,673.0,668.0,13.932029365849436,800.0,1067.0,2988.0,3984.0
Italy_008,ok,SIFT,white_bg,799.0,69614.0,383.0,376.0,13.956533510492422,800.0,1067.0,2988.0,3984.0
Italy_009,ok,SIFT,white_bg,1003.0,64561.0,447.0,440.0,13.972120830562746,800.0,1067.0,2988.0,3984.0
Italy_010,ok,SIFT,white_bg,1358.0,63282.0,796.0,793.0,13.976316886465677,800.0,1067.0,2988.0,3984.0
Italy_011,ok,SIFT,white_bg,996.0,67405.0,527.0,524.0,13.96682943527692,800.0,1067.0,2988.0,3984.0
Italy_012,ok,SIFT,white_bg,988.0,54027.0,502.0,497.0,14.027714542441773,800.0,1067.0,2988.0,3984.0
Italy_013,ok,SIFT,white_bg,1178.0,60554.0,585.0,581.0,13.935809293786335,800.0,1067.0,2988.0,3984.0
Italy_014,ok,SIFT,white_bg,1482.0,69346.0,745.0,736.0,13.967282908449098,800.0,1067.0,2988.0,3984.0
Italy_015,ok,SIFT,white_bg,1008.0,57616.0,490.0,485.0,13.829489029214587,800.0,1067.0,2988.0,3984.0
Italy_016,ok,SIFT,white_bg,1521.0,74737.0,824.0,823.0,13.943281498597145,800.0,1067.0,2988.0,3984.0
Italy_017,ok,SIFT,white_bg,2047.0,61734.0,1168.0,1159.0,13.938927149871654,800.0,1067.0,2988.0,3984.0
Italy_018,ok,SIFT,white_bg,2232.0,63391.0,1333.0,1326.0,13.938790596616363,800.0,1067.0,2988.0,3984.0
Italy_019,ok,SIFT,white_bg,1796.0,61225.0,1049.0,1041.0,13.949501563157753,800.0,1067.0,2988.0,3984.0
Italy_020,ok,SIFT,white_bg,2288.0,77244.0,1388.0,1382.0,13.96246509503887,800.0,1067.0,2988.0,3984.0
Italy_021,ok,SIFT,white_bg,1912.0,69250.0,1085.0,1074.0,13.938308579536747,800.0,1067.0,2988.0,3984.0
Italy_022,ok,SIFT,white_bg,2460.0,56374.0,1453.0,1442.0,13.906002205895128,800.0,1067.0,2988.0,3984.0
Italy_023,ok,SIFT,white_bg,2281.0,67942.0,1327.0,1320.0,13.944947399053584,800.0,1067.0,2988.0,3984.0
Italy_024,ok,SIFT,white_bg,2038.0,65187.0,1138.0,1130.0,13.944512439027065,800.0,1067.0,2988.0,3984.0
Italy_025,ok,SIFT,white_bg,1813.0,57477.0,985.0,980.0,13.931089148889852,800.0,1067.0,2988.0,3984.0
Italy_026,ok,SIFT,white_bg,1499.0,55166.0,878.0,863.0,13.928877575909238,800.0,1067.0,2988.0,3984.0
Italy_027,ok,SIFT,white_bg,1186.0,58658.0,654.0,648.0,13.948778536092938,800.0,1067.0,2988.0,3984.0
Italy_028,ok,SIFT,white_bg,1693.0,63574.0,892.0,885.0,13.953235409320595,800.0,1067.0,2988.0,3984.0
Italy_029,ok,SIFT,white_bg,3314.0,64392.0,1994.0,1973.0,13.939511262156492,800.0,1067.0,2988.0,3984.0
Italy_030,ok,SIFT,white_bg,2970.0,69212.0,1854.0,1848.0,13.9477334848533,800.0,1067.0,2988.0,3984.0
Italy_031,ok,SIFT,white_bg,1925.0,70522.0,1125.0,1122.0,13.924529107130946,800.0,1067.0,2988.0,3984.0
Italy_032,ok,SIFT,alpha,1399.0,79758.0,941.0,935.0,13.9420071999801,800.0,1067.0,2988.0,3984.0
Italy_033,ok,SIFT,alpha,2751.0,69680.0,1866.0,1855.0,13.932196153250501,800.0,1067.0,2988.0,3984.0
Italy_034,ok,SIFT,alpha,1493.0,73936.0,1019.0,1013.0,13.93191173826829,800.0,1067.0,2988.0,3984.0
Italy_035,no_forniceal_crop,,,,,,,,,,,
Italy_036,ok,SIFT,alpha,3125.0,60141.0,2184.0,2175.0,13.942575448726977,800.0,1067.0,2988.0,3984.0
Italy_037,ok,SIFT,alpha,1203.0,80438.0,806.0,799.0,13.920046919876938,800.0,1067.0,2988.0,3984.0
Italy_038,ok,SIFT,alpha,825.0,67046.0,529.0,525.0,13.934363072622359,800.0,1067.0,2988.0,3984.0
Italy_039,ok,SIFT,alpha,1733.0,71931.0,1135.0,1130.0,13.95923451751933,800.0,1067.0,2988.0,3984.0
Italy_040,ok,SIFT,alpha,1473.0,71573.0,1056.0,1050.0,13.976913810968155,800.0,1067.0,2988.0,3984.0
Italy_041,ok,SIFT,alpha,1864.0,62228.0,1327.0,1323.0,13.943542935234293,800.0,1067.0,2988.0,3984.0
Italy_042,ok,SIFT,alpha,1265.0,60951.0,868.0,862.0,13.949682089194408,800.0,1067.0,2988.0,3984.0
Italy_043,ok,SIFT,alpha,2589.0,61695.0,1753.0,1740.0,13.947965156582159,800.0,1067.0,2988.0,3984.0
Italy_044,ok,SIFT,alpha,667.0,66291.0,419.0,417.0,13.9504702630154,800.0,1067.0,2988.0,3984.0
Italy_045,ok,SIFT,alpha,1362.0,74193.0,943.0,942.0,13.940571815321206,800.0,1067.0,2988.0,3984.0
Italy_046,ok,SIFT,alpha,1751.0,62969.0,1135.0,1117.0,13.951495533632443,800.0,1067.0,2988.0,3984.0
Italy_047,ok,SIFT,alpha,1149.0,56940.0,753.0,748.0,13.937861850647737,800.0,1067.0,2988.0,3984.0
Italy_048,ok,SIFT,alpha,1077.0,69601.0,726.0,724.0,13.922530021018012,800.0,1067.0,2988.0,3984.0
Italy_049,ok,SIFT,alpha,1897.0,65987.0,1266.0,1259.0,13.97507148603446,800.0,1067.0,2988.0,3984.0
Italy_050,ok,SIFT,alpha,2286.0,65852.0,1557.0,1547.0,13.955681203237958,800.0,1067.0,2988.0,3984.0
Italy_051,ok,SIFT,alpha,2025.0,55533.0,1374.0,1363.0,13.942382454872007,800.0,1067.0,2988.0,3984.0
Italy_052,ok,SIFT,alpha,2352.0,60599.0,1648.0,1639.0,13.91839214835127,800.0,1067.0,2988.0,3984.0
Italy_053,ok,SIFT,alpha,2280.0,70139.0,1523.0,1515.0,13.9607414355643,800.0,1067.0,2988.0,3984.0
Italy_054,no_forniceal_crop,,,,,,,,,,,
Italy_055,ok,SIFT,alpha,593.0,83002.0,351.0,348.0,13.729680705595047,800.0,1067.0,2988.0,3984.0
Italy_056,ok,SIFT,alpha,2544.0,60114.0,1778.0,1763.0,13.94492646561402,800.0,1067.0,2988.0,3984.0
Italy_057,ok,SIFT,alpha,1150.0,63083.0,748.0,742.0,13.886765743959398,800.0,1067.0,2988.0,3984.0
Italy_058,no_forniceal_crop,,,,,,,,,,,
Italy_059,ok,SIFT,alpha,337.0,56935.0,203.0,197.0,13.907558517341021,800.0,1067.0,2988.0,3984.0
Italy_060,ok,SIFT,alpha,1286.0,65320.0,847.0,839.0,13.944075002577176,800.0,1067.0,2988.0,3984.0
Italy_061,ok,SIFT,alpha,2367.0,69926.0,1655.0,1646.0,13.917332787534946,800.0,1067.0,2988.0,3984.0
Italy_062,ok,SIFT,alpha,1764.0,43463.0,1194.0,1179.0,13.942546791017298,800.0,1067.0,2988.0,3984.0
Italy_063,ok,SIFT,alpha,1464.0,70184.0,964.0,948.0,13.948115130012273,800.0,1067.0,2988.0,3984.0
Italy_064,ok,SIFT,alpha,2469.0,63988.0,1671.0,1661.0,13.944496809451103,800.0,1067.0,2988.0,3984.0
Italy_065,ok,SIFT,alpha,1946.0,68250.0,1332.0,1324.0,13.944941274811061,800.0,1067.0,2988.0,3984.0
Italy_066,ok,SIFT,alpha,2358.0,62140.0,1681.0,1674.0,13.944366597640837,800.0,1067.0,2988.0,3984.0
Italy_067,ok,SIFT,alpha,3014.0,61258.0,2076.0,2054.0,13.946872367581308,800.0,1067.0,2988.0,3984.0
Italy_068,ok,SIFT,alpha,3336.0,67688.0,2288.0,2270.0,13.943297049518305,800.0,1067.0,2988.0,3984.0
Italy_069,ok,SIFT,alpha,2636.0,58515.0,1818.0,1799.0,13.941021666200452,800.0,1067.0,2988.0,3984.0
Italy_070,ok,SIFT,alpha,2132.0,66813.0,1426.0,1411.0,13.968841394914529,800.0,1067.0,2988.0,3984.0
Italy_071,ok,SIFT,alpha,1561.0,71079.0,1030.0,1023.0,13.961612964674478,800.0,1067.0,2988.0,3984.0
Italy_072,ok,SIFT,alpha,1909.0,72651.0,1214.0,1207.0,13.926528179405363,800.0,1067.0,2988.0,3984.0
Italy_073,ok,SIFT,alpha,1345.0,61458.0,863.0,859.0,13.959306995720182,800.0,1067.0,2988.0,3984.0
Italy_074,ok,SIFT,alpha,1207.0,60338.0,786.0,774.0,13.959942945337557,800.0,1067.0,2988.0,3984.0
Italy_075,no_forniceal_crop,,,,,,,,,,,
Italy_076,ok,SIFT,alpha,1382.0,56555.0,882.0,873.0,13.946603406625904,800.0,1067.0,2988.0,3984.0
Italy_077,ok,SIFT,alpha,1970.0,47738.0,1381.0,1367.0,13.950260420940854,800.0,1067.0,2988.0,3984.0
Italy_078,ok,SIFT,alpha,2525.0,58506.0,1685.0,1668.0,13.94948577702946,800.0,1067.0,2988.0,3984.0
Italy_079,ok,SIFT,alpha,1132.0,78790.0,723.0,714.0,13.950819674502943,800.0,1067.0,2988.0,3984.0
Italy_080,ok,SIFT,alpha,1693.0,57937.0,1139.0,1130.0,13.925501297979645,800.0,1067.0,2988.0,3984.0
Italy_081,ok,SIFT,alpha,3016.0,64668.0,2056.0,2051.0,13.9499199061759,800.0,1067.0,2988.0,3984.0
Italy_082,ok,SIFT,alpha,1359.0,70109.0,887.0,883.0,13.833220196262813,800.0,1067.0,2988.0,3984.0
Italy_083,ok,SIFT,alpha,1394.0,59164.0,928.0,924.0,13.943275700200047,800.0,1067.0,2988.0,3984.0
Italy_084,ok,SIFT,alpha,2155.0,62258.0,1509.0,1507.0,13.952879558882458,800.0,1067.0,2988.0,3984.0
Italy_085,ok,SIFT,alpha,2074.0,63970.0,1390.0,1377.0,13.940785181090297,800.0,1067.0,2988.0,3984.0
Italy_086,ok,SIFT,alpha,2132.0,71076.0,1400.0,1392.0,13.943423097782826,800.0,1067.0,2988.0,3984.0
Italy_087,ok,SIFT,alpha,2252.0,79500.0,1537.0,1529.0,13.949035274723224,800.0,1067.0,2988.0,3984.0
Italy_088,ok,SIFT,alpha,777.0,60991.0,508.0,505.0,13.844515556004405,800.0,1067.0,2988.0,3984.0
Italy_089,ok,SIFT,alpha,2973.0,53420.0,2159.0,2137.0,13.944879943375101,800.0,1067.0,2988.0,3984.0
Italy_090,ok,SIFT,alpha,1909.0,55402.0,1325.0,1314.0,13.951107721015067,800.0,1067.0,2988.0,3984.0
Italy_091,ok,SIFT,alpha,971.0,59508.0,648.0,639.0,13.912913717675597,800.0,1067.0,2988.0,3984.0
Italy_092,ok,SIFT,alpha,1410.0,61997.0,956.0,942.0,13.946639948416289,800.0,1067.0,2988.0,3984.0
Italy_094,ok,SIFT,alpha,202.0,60428.0,106.0,101.0,13.816185270882947,800.0,1067.0,2988.0,3984.0
Italy_095,ok,SIFT,alpha,3376.0,65590.0,2396.0,2379.0,13.94190431164477,800.0,1067.0,2988.0,3984.0
Italy_096,ok,SIFT,alpha,780.0,68366.0,456.0,442.0,13.931687287585081,800.0,1067.0,2988.0,3984.0
Italy_097,ok,SIFT,alpha,1862.0,68070.0,1279.0,1268.0,13.941063832729185,800.0,1067.0,2988.0,3984.0
Italy_098,ok,SIFT,alpha,1726.0,70390.0,1176.0,1167.0,13.945216027642692,800.0,1067.0,2988.0,3984.0
Italy_099,ok,SIFT,alpha,675.0,61558.0,440.0,433.0,13.90082041049682,800.0,1067.0,2988.0,3984.0
Italy_100,ok,SIFT,alpha,1133.0,74857.0,725.0,719.0,13.936853847786958,800.0,1067.0,2988.0,3984.0
Italy_101,ok,SIFT,alpha,837.0,59119.0,550.0,542.0,13.964967855709158,800.0,1067.0,2988.0,3984.0
Italy_102,ok,SIFT,alpha,508.0,61544.0,319.0,317.0,13.953073220220368,800.0,1067.0,2988.0,3984.0
Italy_103,ok,SIFT,alpha,1030.0,56842.0,659.0,648.0,13.91861721346894,800.0,1067.0,2988.0,3984.0
Italy_104,ok,SIFT,alpha,2308.0,60954.0,1462.0,1454.0,13.949411644763522,800.0,1067.0,2988.0,3984.0
Italy_105,ok,SIFT,alpha,1633.0,58132.0,1104.0,1101.0,13.92351623650676,800.0,1067.0,2988.0,3984.0
Italy_106,ok,SIFT,alpha,524.0,63457.0,298.0,295.0,13.962157776384473,800.0,1067.0,2988.0,3984.0
Italy_107,ok,SIFT,alpha,2017.0,64676.0,1348.0,1331.0,13.950606635606022,800.0,1067.0,2988.0,3984.0
Italy_108,ok,SIFT,alpha,1323.0,67350.0,880.0,875.0,13.953224352713567,800.0,1067.0,2988.0,3984.0
Italy_109,no_forniceal_crop,,,,,,,,,,,
Italy_110,ok,SIFT,alpha,582.0,60558.0,365.0,360.0,13.947011565050902,800.0,1067.0,2988.0,3984.0
Italy_111,ok,SIFT,alpha,1883.0,73091.0,1327.0,1319.0,13.943288302416912,800.0,1067.0,2988.0,3984.0
Italy_112,ok,SIFT,alpha,2716.0,71255.0,1941.0,1925.0,13.935056507531808,800.0,1067.0,2988.0,3984.0
Italy_113,ok,SIFT,alpha,2706.0,56563.0,1866.0,1851.0,13.914578903693497,800.0,1067.0,2988.0,3984.0
Italy_114,ok,SIFT,alpha,1623.0,57402.0,1083.0,1079.0,13.94597553901263,800.0,1067.0,2988.0,3984.0
Italy_115,ok,SIFT,alpha,1694.0,66218.0,1118.0,1101.0,13.920965327159616,800.0,1067.0,2988.0,3984.0
Italy_116,ok,SIFT,alpha,2168.0,61851.0,1500.0,1490.0,13.947873785640777,800.0,1067.0,2988.0,3984.0
Italy_117,ok,SIFT,alpha,1277.0,57376.0,828.0,823.0,13.942970128421393,800.0,1067.0,2988.0,3984.0
Italy_118,ok,SIFT,alpha,1824.0,66864.0,1183.0,1171.0,13.94677665277497,800.0,1067.0,2988.0,3984.0
Italy_119,ok,SIFT,alpha,1425.0,62338.0,947.0,942.0,13.949045118857828,800.0,1067.0,2988.0,3984.0
Italy_120,ok,SIFT,alpha,425.0,62881.0,263.0,253.0,13.870931794724441,800.0,1067.0,2988.0,3984.0
Italy_121,ok,SIFT,alpha,988.0,68985.0,639.0,636.0,13.954858618116715,800.0,1067.0,2988.0,3984.0
Italy_122,ok,SIFT,alpha,813.0,54304.0,511.0,508.0,13.938621946655424,800.0,1067.0,2988.0,3984.0
Italy_123,ok,SIFT,alpha,2642.0,70053.0,1864.0,1855.0,13.948726699139534,800.0,1067.0,2988.0,3984.0
